text,key
person is <mask> than train,smaller
cup is <mask> than eye,larger
back is <mask> than bed,smaller
patient is <mask> than place,smaller
father is <mask> than grass,larger
clock is <mask> than room,smaller
hat is <mask> than bow,larger
hair is <mask> than head,smaller
gentleman is <mask> than restaurant,smaller
bow is <mask> than stream,smaller
room is <mask> than continent,smaller
tree is <mask> than floor,smaller
piece is <mask> than hand,smaller
person is <mask> than prison,smaller
daughter is <mask> than place,smaller
someone is <mask> than house,smaller
coach is <mask> than face,larger
sun is <mask> than ship,larger
piece is <mask> than place,smaller
train is <mask> than town,smaller
eye is <mask> than glass,smaller
river is <mask> than face,larger
tree is <mask> than brick,larger
door is <mask> than hand,larger
arm is <mask> than boy,smaller
person is <mask> than boy,larger
dinner is <mask> than door,smaller
brother is <mask> than train,smaller
person is <mask> than harlot,larger
fox is <mask> than messenger,smaller
foot is <mask> than anything,smaller
finger is <mask> than throat,smaller
king is <mask> than fool,larger
body is <mask> than road,smaller
finger is <mask> than ash,larger
lady is <mask> than sea,smaller
world is <mask> than glass,larger
town is <mask> than camp,larger
sea is <mask> than way,larger
parcel is <mask> than home,smaller
friend is <mask> than child,larger
person is <mask> than watch,larger
child is <mask> than bottle,larger
poet is <mask> than ear,larger
town is <mask> than king,larger
daughter is <mask> than hand,larger
lady is <mask> than phone,larger
parcel is <mask> than bed,smaller
patient is <mask> than mouth,larger
watch is <mask> than ice,smaller
child is <mask> than elbow,larger
daughter is <mask> than face,larger
boy is <mask> than continent,smaller
candidate is <mask> than head,larger
daughter is <mask> than gate,smaller
teacher is <mask> than piece,larger
teacher is <mask> than picture,larger
coach is <mask> than head,larger
house is <mask> than shore,smaller
finger is <mask> than picture,smaller
wife is <mask> than dress,larger
hill is <mask> than eye,larger
cross is <mask> than head,larger
messenger is <mask> than ship,smaller
corner is <mask> than place,smaller
stone is <mask> than wall,smaller
hat is <mask> than rain,larger
finger is <mask> than button,larger
father is <mask> than knife,larger
child is <mask> than light,larger
bench is <mask> than wall,smaller
bow is <mask> than lip,larger
shop is <mask> than town,smaller
lady is <mask> than town,smaller
finger is <mask> than book,smaller
house is <mask> than lamp,larger
child is <mask> than shirt,larger
world is <mask> than place,larger
head is <mask> than bed,smaller
watch is <mask> than sea,smaller
person is <mask> than rope,larger
finger is <mask> than child,smaller
patient is <mask> than breath,larger
ash is <mask> than head,smaller
corner is <mask> than street,smaller
friend is <mask> than ball,larger
person is <mask> than cup,larger
finger is <mask> than anything,smaller
sun is <mask> than object,larger
city is <mask> than town,larger
place is <mask> than worker,larger
wife is <mask> than lip,larger
spoon is <mask> than sink,smaller
patient is <mask> than scene,smaller
dinner is <mask> than king,smaller
lover is <mask> than effect,smaller
boy is <mask> than ship,smaller
street is <mask> than room,larger
king is <mask> than floor,smaller
tree is <mask> than purse,larger
boy is <mask> than gate,smaller
father is <mask> than floor,smaller
cup is <mask> than finger,larger
vessel is <mask> than city,smaller
person is <mask> than ground,smaller
lady is <mask> than glass,larger
father is <mask> than tree,smaller
clothes is <mask> than sun,smaller
state is <mask> than soul,larger
person is <mask> than volunteer,larger
lady is <mask> than basin,larger
person is <mask> than tear,larger
world is <mask> than state,larger
father is <mask> than eye,larger
finger is <mask> than side,smaller
lady is <mask> than ear,larger
coach is <mask> than cross,larger
father is <mask> than breath,larger
person is <mask> than seal,larger
knife is <mask> than rope,smaller
room is <mask> than tree,smaller
body is <mask> than boat,smaller
boy is <mask> than mouth,larger
king is <mask> than skirt,larger
book is <mask> than light,smaller
arm is <mask> than chin,larger
gentleman is <mask> than floor,smaller
coach is <mask> than patient,larger
arm is <mask> than head,larger
lady is <mask> than bow,larger
lady is <mask> than purse,larger
father is <mask> than body,larger
cup is <mask> than restaurant,smaller
gentleman is <mask> than king,larger
chair is <mask> than street,smaller
car is <mask> than face,larger
everything is <mask> than store,larger
vessel is <mask> than hand,larger
light is <mask> than road,larger
mountain is <mask> than mouth,larger
vessel is <mask> than beach,smaller
arm is <mask> than step,smaller
gentleman is <mask> than state,smaller
button is <mask> than door,smaller
body is <mask> than beach,smaller
bag is <mask> than road,smaller
door is <mask> than phone,larger
shoulder is <mask> than hand,larger
hat is <mask> than state,smaller
teacher is <mask> than tree,smaller
victim is <mask> than hand,larger
lady is <mask> than daughter,larger
air is <mask> than shirt,larger
daughter is <mask> than door,smaller
elbow is <mask> than hand,smaller
everything is <mask> than picture,larger
dinner is <mask> than knife,larger
bank is <mask> than brother,larger
arm is <mask> than hill,smaller
world is <mask> than position,larger
foot is <mask> than road,smaller
parent is <mask> than place,smaller
step is <mask> than camp,smaller
clock is <mask> than town,smaller
father is <mask> than everything,smaller
hat is <mask> than room,smaller
finger is <mask> than chin,smaller
arm is <mask> than train,smaller
boy is <mask> than restaurant,smaller
arm is <mask> than face,larger
head is <mask> than stream,smaller
world is <mask> than scene,larger
child is <mask> than cross,larger
lady is <mask> than everything,smaller
house is <mask> than beach,smaller
boy is <mask> than glass,larger
house is <mask> than tree,larger
stream is <mask> than beach,smaller
town is <mask> than mouth,larger
knife is <mask> than room,smaller
sun is <mask> than camp,larger
sun is <mask> than rope,larger
brother is <mask> than stone,larger
horse is <mask> than book,larger
sail is <mask> than boat,smaller
knife is <mask> than sink,smaller
parcel is <mask> than pocket,larger
banker is <mask> than stream,smaller
body is <mask> than continent,smaller
picture is <mask> than mouth,larger
sun is <mask> than horse,larger
boy is <mask> than room,smaller
system is <mask> than child,larger
newspaper is <mask> than camp,smaller
button is <mask> than shirt,smaller
chair is <mask> than continent,smaller
body is <mask> than place,smaller
ground is <mask> than mouth,larger
person is <mask> than pocket,larger
king is <mask> than lamp,larger
person is <mask> than reservation,smaller
city is <mask> than eye,larger
someone is <mask> than lock,larger
piece is <mask> than head,smaller
finger is <mask> than head,smaller
body is <mask> than block,larger
child is <mask> than ship,smaller
person is <mask> than horse,smaller
father is <mask> than head,larger
corner is <mask> than eye,larger
clothes is <mask> than street,smaller
dinner is <mask> than book,larger
father is <mask> than road,smaller
father is <mask> than daughter,larger
world is <mask> than poet,larger
chest is <mask> than stone,larger
food is <mask> than floor,smaller
sun is <mask> than light,larger
lady is <mask> than lock,larger
eye is <mask> than gate,smaller
cup is <mask> than bench,smaller
daughter is <mask> than tree,larger
father is <mask> than barn,smaller
body is <mask> than book,larger
coach is <mask> than gate,smaller
boy is <mask> than piece,larger
sun is <mask> than ball,larger
phone is <mask> than ear,larger
shop is <mask> than office,larger
patient is <mask> than friend,larger
city is <mask> than element,larger
victim is <mask> than head,larger
button is <mask> than phone,smaller
person is <mask> than car,smaller
arm is <mask> than friend,smaller
someone is <mask> than boat,smaller
daughter is <mask> than suit,larger
messenger is <mask> than eye,larger
chair is <mask> than world,smaller
person is <mask> than exile,larger
child is <mask> than tree,smaller
lady is <mask> than lip,larger
brother is <mask> than body,larger
lady is <mask> than bench,smaller
person is <mask> than glass,larger
boy is <mask> than coal,larger
door is <mask> than gate,smaller
boy is <mask> than picture,larger
father is <mask> than sea,smaller
foot is <mask> than position,smaller
foot is <mask> than stone,larger
eye is <mask> than hand,smaller
father is <mask> than shoulder,larger
nose is <mask> than place,smaller
person is <mask> than meal,larger
world is <mask> than direction,larger
wife is <mask> than pedestal,larger
piece is <mask> than room,smaller
parent is <mask> than head,larger
side is <mask> than place,smaller
head is <mask> than dress,smaller
gentleman is <mask> than child,larger
door is <mask> than child,larger
car is <mask> than rain,larger
home is <mask> than room,larger
chair is <mask> than head,larger
knife is <mask> than eye,larger
gentleman is <mask> than meal,larger
boy is <mask> than suit,larger
victim is <mask> than purse,larger
exile is <mask> than room,smaller
house is <mask> than purse,larger
tree is <mask> than friend,larger
finger is <mask> than spoon,smaller
anchor is <mask> than shore,smaller
person is <mask> than stone,larger
abode is <mask> than bank,smaller
chest is <mask> than arm,larger
king is <mask> than bottle,larger
window is <mask> than lamp,larger
daughter is <mask> than skirt,larger
train is <mask> than gate,larger
wife is <mask> than gate,smaller
daughter is <mask> than shirt,larger
purse is <mask> than floor,smaller
window is <mask> than wall,smaller
person is <mask> than child,larger
person is <mask> than goose,larger
watch is <mask> than city,smaller
person is <mask> than side,larger
gentleman is <mask> than magazine,larger
brother is <mask> than home,smaller
food is <mask> than room,smaller
worker is <mask> than hand,larger
arm is <mask> than door,smaller
barn is <mask> than hill,smaller
person is <mask> than anything,smaller
piece is <mask> than road,smaller
person is <mask> than parcel,larger
way is <mask> than book,larger
hair is <mask> than face,smaller
coach is <mask> than breath,larger
coach is <mask> than room,smaller
horse is <mask> than road,smaller
corner is <mask> than mouth,larger
arm is <mask> than mouth,larger
watch is <mask> than head,smaller
window is <mask> than everything,smaller
abode is <mask> than farm,smaller
temple is <mask> than head,smaller
brother is <mask> than state,smaller
hat is <mask> than house,smaller
person is <mask> than clock,larger
sun is <mask> than floor,larger
lady is <mask> than violin,larger
patient is <mask> than step,larger
child is <mask> than tree,smaller
sea is <mask> than head,larger
ear is <mask> than room,smaller
coach is <mask> than town,smaller
friend is <mask> than purse,larger
stone is <mask> than tree,smaller
person is <mask> than patient,larger
horse is <mask> than car,smaller
gulp is <mask> than glass,smaller
home is <mask> than hand,larger
teacher is <mask> than hand,larger
room is <mask> than face,larger
sun is <mask> than glass,larger
father is <mask> than gentleman,larger
city is <mask> than ball,larger
coach is <mask> than hand,larger
boat is <mask> than stream,smaller
current is <mask> than response,larger
bench is <mask> than place,smaller
horse is <mask> than town,smaller
bag is <mask> than shirt,larger
eye is <mask> than ear,smaller
lady is <mask> than house,smaller
hat is <mask> than home,smaller
poet is <mask> than call,larger
boy is <mask> than child,larger
wall is <mask> than light,larger
boy is <mask> than cross,larger
clothes is <mask> than cross,smaller
fox is <mask> than road,smaller
lady is <mask> than door,smaller
child is <mask> than lamp,larger
fox is <mask> than food,larger
place is <mask> than newspaper,larger
clock is <mask> than door,smaller
gentleman is <mask> than door,smaller
lady is <mask> than bower,smaller
stair is <mask> than stream,smaller
river is <mask> than ice,larger
elbow is <mask> than floor,smaller
house is <mask> than head,larger
lady is <mask> than temple,smaller
coach is <mask> than horse,smaller
picture is <mask> than hand,larger
prison is <mask> than state,smaller
lady is <mask> than fist,larger
food is <mask> than farm,smaller
poet is <mask> than object,larger
fox is <mask> than tree,smaller
boy is <mask> than chin,larger
hill is <mask> than place,larger
state is <mask> than road,larger
hat is <mask> than sea,smaller
bag is <mask> than doorway,smaller
piece is <mask> than skirt,smaller
foot is <mask> than body,smaller
king is <mask> than hand,larger
gentleman is <mask> than store,smaller
bank is <mask> than river,smaller
king is <mask> than magazine,larger
hat is <mask> than sun,smaller
chest is <mask> than bottle,larger
gentleman is <mask> than doorway,smaller
clothes is <mask> than everything,smaller
hat is <mask> than floor,smaller
house is <mask> than step,larger
home is <mask> than friend,larger
sun is <mask> than stream,larger
patient is <mask> than hand,larger
house is <mask> than everything,smaller
someone is <mask> than ear,larger
brother is <mask> than cross,smaller
watch is <mask> than back,smaller
meal is <mask> than father,smaller
place is <mask> than object,larger
ground is <mask> than step,larger
horse is <mask> than eye,larger
river is <mask> than shore,larger
person is <mask> than torso,larger
coach is <mask> than foot,larger
mosquito is <mask> than mouth,smaller
sea is <mask> than boat,larger
rain is <mask> than face,larger
ground is <mask> than stone,larger
boy is <mask> than book,larger
world is <mask> than everything,smaller
sea is <mask> than vessel,larger
person is <mask> than truck,smaller
horse is <mask> than rope,larger
car is <mask> than floor,larger
person is <mask> than parent,larger
stream is <mask> than face,larger
wife is <mask> than purse,larger
brother is <mask> than bed,smaller
lover is <mask> than road,smaller
someone is <mask> than doorway,smaller
hat is <mask> than bed,smaller
button is <mask> than mouth,smaller
gentleman is <mask> than wife,larger
father is <mask> than trench,smaller
bag is <mask> than place,smaller
watch is <mask> than sail,smaller
house is <mask> than block,larger
boy is <mask> than car,smaller
boy is <mask> than purse,larger
food is <mask> than body,smaller
messenger is <mask> than ear,larger
lady is <mask> than child,larger
child is <mask> than gate,smaller
sun is <mask> than current,larger
lady is <mask> than hair,larger
cup is <mask> than bottle,smaller
river is <mask> than glass,larger
call is <mask> than ship,smaller
person is <mask> than candidate,larger
city is <mask> than middle,larger
cross is <mask> than knife,larger
knife is <mask> than scene,smaller
sun is <mask> than gate,larger
parent is <mask> than hand,larger
patient is <mask> than child,larger
strap is <mask> than eye,larger
arm is <mask> than daughter,smaller
meal is <mask> than chair,smaller
door is <mask> than lamp,larger
eye is <mask> than child,smaller
dinner is <mask> than home,smaller
soul is <mask> than continent,larger
candidate is <mask> than eye,larger
bay is <mask> than ship,larger
person is <mask> than horseback,smaller
bank is <mask> than farm,smaller
gentleman is <mask> than shirt,larger
friend is <mask> than knee,larger
place is <mask> than face,larger
home is <mask> than bottle,larger
corner is <mask> than room,smaller
foot is <mask> than town,smaller
boy is <mask> than road,smaller
lady is <mask> than sip,larger
boat is <mask> than flood,smaller
lady is <mask> than clothes,larger
boy is <mask> than wall,smaller
person is <mask> than sail,smaller
hair is <mask> than picture,smaller
father is <mask> than beach,smaller
food is <mask> than hand,larger
sea is <mask> than position,larger
street is <mask> than dress,larger
wife is <mask> than camp,smaller
eye is <mask> than face,smaller
grass is <mask> than knee,smaller
shoulder is <mask> than face,larger
person is <mask> than trench,smaller
eye is <mask> than head,smaller
system is <mask> than hand,larger
person is <mask> than bed,smaller
world is <mask> than face,larger
lad is <mask> than light,larger
king is <mask> than throat,larger
head is <mask> than pedestal,smaller
wife is <mask> than hand,larger
person is <mask> than fist,larger
sun is <mask> than farm,larger
everything is <mask> than floor,larger
foot is <mask> than eye,larger
coach is <mask> than ball,larger
clock is <mask> than eye,larger
arm is <mask> than breath,larger
chest is <mask> than hand,larger
body is <mask> than rain,larger
patient is <mask> than book,larger
father is <mask> than messenger,larger
teacher is <mask> than head,larger
magistrate is <mask> than clock,larger
bag is <mask> than hand,larger
air is <mask> than head,larger
person is <mask> than eye,larger
bench is <mask> than sun,smaller
sun is <mask> than boat,larger
state is <mask> than hand,larger
hair is <mask> than bed,smaller
foot is <mask> than grass,smaller
person is <mask> than worker,larger
lady is <mask> than gentleman,smaller
friend is <mask> than store,smaller
hair is <mask> than shirt,smaller
eye is <mask> than flood,smaller
chair is <mask> than house,smaller
sun is <mask> than beach,larger
eye is <mask> than floor,smaller
child is <mask> than road,smaller
eye is <mask> than shore,smaller
boy is <mask> than throat,larger
father is <mask> than brother,larger
daughter is <mask> than mouth,larger
eye is <mask> than coal,smaller
lady is <mask> than book,larger
parcel is <mask> than gentleman,smaller
city is <mask> than ship,larger
purse is <mask> than hand,larger
lady is <mask> than way,smaller
place is <mask> than picture,larger
factory is <mask> than stream,larger
person is <mask> than temple,smaller
person is <mask> than town,smaller
king is <mask> than face,larger
house is <mask> than cross,larger
corner is <mask> than sea,smaller
head is <mask> than wife,smaller
corner is <mask> than head,larger
boy is <mask> than ball,larger
ship is <mask> than shirt,larger
tree is <mask> than mouth,larger
boat is <mask> than city,smaller
boy is <mask> than daughter,larger
spoon is <mask> than floor,smaller
foot is <mask> than river,smaller
everything is <mask> than room,larger
lady is <mask> than prison,smaller
hat is <mask> than grass,larger
vessel is <mask> than mouth,larger
button is <mask> than wall,smaller
gentleman is <mask> than friend,larger
daughter is <mask> than horse,smaller
gentleman is <mask> than step,larger
child is <mask> than knee,larger
candidate is <mask> than road,smaller
home is <mask> than hill,smaller
person is <mask> than city,smaller
bed is <mask> than picture,larger
place is <mask> than system,smaller
lady is <mask> than bed,smaller
person is <mask> than corner,larger
horse is <mask> than shirt,larger
town is <mask> than book,larger
factory is <mask> than glass,larger
foot is <mask> than house,smaller
person is <mask> than house,smaller
everything is <mask> than head,larger
office is <mask> than hand,larger
head is <mask> than skirt,smaller
bank is <mask> than side,larger
child is <mask> than town,smaller
ground is <mask> than fist,larger
person is <mask> than shirt,larger
bow is <mask> than eye,larger
boy is <mask> than city,smaller
friend is <mask> than child,larger
fist is <mask> than wife,smaller
child is <mask> than face,larger
poet is <mask> than friend,larger
father is <mask> than house,smaller
clock is <mask> than lamp,smaller
lady is <mask> than river,smaller
brick is <mask> than head,smaller
newspaper is <mask> than knee,larger
brother is <mask> than scene,smaller
child is <mask> than book,larger
hair is <mask> than arm,smaller
phone is <mask> than bed,smaller
gentleman is <mask> than lip,larger
king is <mask> than purse,larger
arm is <mask> than fist,larger
someone is <mask> than body,larger
seal is <mask> than ice,larger
dinner is <mask> than restaurant,smaller
person is <mask> than shore,smaller
friend is <mask> than gate,smaller
friend is <mask> than doorway,smaller
brother is <mask> than ship,smaller
foot is <mask> than everything,smaller
bayonet is <mask> than mouth,larger
house is <mask> than eye,larger
city is <mask> than king,larger
teacher is <mask> than store,smaller
home is <mask> than daughter,larger
system is <mask> than seed,larger
stream is <mask> than mouth,larger
nose is <mask> than door,smaller
someone is <mask> than face,larger
teacher is <mask> than book,larger
meal is <mask> than place,smaller
person is <mask> than factory,smaller
person is <mask> than beach,smaller
sun is <mask> than body,larger
city is <mask> than head,larger
teacher is <mask> than room,smaller
lad is <mask> than mouth,larger
someone is <mask> than barn,smaller
king is <mask> than road,smaller
wife is <mask> than floor,smaller
stone is <mask> than road,smaller
victim is <mask> than step,larger
finger is <mask> than place,smaller
book is <mask> than face,larger
hair is <mask> than hand,smaller
boy is <mask> than fist,larger
person is <mask> than ash,larger
wife is <mask> than flood,smaller
king is <mask> than seal,smaller
back is <mask> than head,larger
gentleman is <mask> than chin,larger
foot is <mask> than city,smaller
magazine is <mask> than eye,larger
boy is <mask> than meal,larger
lady is <mask> than lover,larger
coach is <mask> than place,smaller
world is <mask> than step,larger
teacher is <mask> than eye,larger
city is <mask> than child,larger
victim is <mask> than door,smaller
hill is <mask> than rain,larger
eye is <mask> than someone,smaller
magistrate is <mask> than messenger,larger
bag is <mask> than bottle,larger
friend is <mask> than hand,larger
chair is <mask> than home,smaller
scene is <mask> than hand,larger
someone is <mask> than head,larger
person is <mask> than body,larger
world is <mask> than wind,larger
father is <mask> than sail,smaller
home is <mask> than soul,larger
foot is <mask> than mouth,larger
sun is <mask> than bed,larger
factory is <mask> than city,smaller
person is <mask> than hat,larger
home is <mask> than piece,larger
dinner is <mask> than mouth,larger
office is <mask> than messenger,larger
wife is <mask> than skirt,larger
child is <mask> than shirt,larger
sea is <mask> than anchor,larger
friend is <mask> than dress,larger
father is <mask> than tree,larger
foot is <mask> than head,smaller
foot is <mask> than factory,smaller
wife is <mask> than farm,smaller
boat is <mask> than mouth,larger
hat is <mask> than mouth,larger
horse is <mask> than mouth,larger
world is <mask> than suit,larger
lady is <mask> than shirt,larger
prison is <mask> than side,larger
watch is <mask> than floor,smaller
door is <mask> than rope,larger
wife is <mask> than shore,smaller
shop is <mask> than corner,larger
foot is <mask> than hill,smaller
gentleman is <mask> than body,larger
victim is <mask> than tree,smaller
book is <mask> than picture,larger
magistrate is <mask> than book,larger
finger is <mask> than eye,larger
tree is <mask> than ship,smaller
fox is <mask> than city,smaller
watch is <mask> than street,smaller
ship is <mask> than face,larger
air is <mask> than end,larger
state is <mask> than eye,larger
lady is <mask> than ice,larger
office is <mask> than seal,larger
boy is <mask> than lock,larger
foot is <mask> than ice,smaller
gate is <mask> than road,smaller
chin is <mask> than hand,smaller
father is <mask> than dress,larger
messenger is <mask> than car,smaller
cup is <mask> than mouth,larger
train is <mask> than car,larger
chair is <mask> than foot,larger
river is <mask> than stream,larger
banker is <mask> than hand,larger
victim is <mask> than place,smaller
child is <mask> than violin,larger
person is <mask> than grass,larger
head is <mask> than knee,larger
person is <mask> than street,smaller
stream is <mask> than glass,larger
father is <mask> than book,larger
everything is <mask> than eye,larger
ground is <mask> than house,larger
head is <mask> than soul,larger
eye is <mask> than object,smaller
seed is <mask> than ship,smaller
hat is <mask> than wall,smaller
eye is <mask> than picture,smaller
poet is <mask> than beach,smaller
person is <mask> than farm,smaller
someone is <mask> than home,smaller
boy is <mask> than bottle,larger
abode is <mask> than house,larger
bank is <mask> than town,smaller
side is <mask> than state,smaller
father is <mask> than hand,larger
