,text,key
85,door is larger than lock,larger
86,hat is smaller than tree,smaller
87,lady is larger than seal,larger
88,lady is larger than light,larger
89,hair is smaller than sun,smaller
90,place is larger than ball,larger
91,shop is larger than place,larger
92,stone is smaller than ship,smaller
93,barn is larger than head,larger
94,foot is smaller than precipice,smaller
95,place is larger than end,larger
96,person is larger than coward,larger
97,arm is smaller than child,smaller
98,city is larger than hand,larger
99,place is larger than block,larger
100,meal is smaller than restaurant,smaller
101,hair is smaller than dress,smaller
102,everything is larger than something,larger
103,city is larger than face,larger
104,lady is smaller than state,smaller
105,person is larger than scissors,larger
106,messenger is smaller than mountain,smaller
107,father is smaller than boat,smaller
108,body is larger than picture,larger
109,nose is smaller than skirt,smaller
110,glass is smaller than head,smaller
111,step is smaller than floor,smaller
112,foot is smaller than back,smaller
113,everything is larger than farm,larger
114,door is larger than cross,larger
115,pocket is smaller than car,smaller
116,wall is larger than fist,larger
117,person is larger than arm,larger
118,eye is smaller than suit,smaller
119,eye is smaller than tree,smaller
120,grass is larger than face,larger
121,head is smaller than king,smaller
122,person is smaller than river,smaller
123,clock is smaller than head,smaller
124,someone is smaller than truck,smaller
125,father is larger than bow,larger
126,hill is larger than breath,larger
127,place is larger than bottle,larger
128,room is larger than magazine,larger
129,chest is larger than head,larger
130,dress is smaller than floor,smaller
131,body is larger than wife,larger
132,tree is larger than grass,larger
133,fox is smaller than ground,smaller
134,hair is smaller than light,smaller
135,chair is smaller than room,smaller
136,father is smaller than street,smaller
137,father is larger than glass,larger
138,sun is larger than picture,larger
139,daughter is smaller than doorway,smaller
140,boy is smaller than king,smaller
141,wife is larger than light,larger
142,cup is smaller than king,smaller
143,door is larger than head,larger
144,tree is larger than wife,larger
145,brother is smaller than place,smaller
146,sun is larger than scene,larger
147,tree is larger than object,larger
148,door is larger than bottle,larger
149,lady is larger than watch,larger
150,father is larger than chest,larger
151,father is smaller than prison,smaller
152,someone is smaller than car,smaller
153,place is larger than magazine,larger
154,horse is larger than wife,larger
155,flood is larger than picture,larger
156,cup is larger than pocket,larger
157,phone is smaller than hand,smaller
158,river is larger than basin,larger
159,finger is smaller than knife,smaller
160,side is larger than door,larger
161,sea is larger than base,larger
162,eye is smaller than room,smaller
163,father is larger than mouth,larger
164,king is smaller than wind,smaller
165,clothes is larger than mouth,larger
166,father is larger than back,larger
167,teacher is larger than boy,larger
168,meal is smaller than daughter,smaller
169,window is larger than face,larger
170,someone is smaller than tree,smaller
171,street is larger than book,larger
172,bag is larger than book,larger
173,stone is smaller than continent,smaller
174,lady is larger than dress,larger
175,head is smaller than newspaper,smaller
176,foot is smaller than horse,smaller
177,horse is larger than head,larger
178,back is smaller than dress,smaller
179,someone is larger than hair,larger
180,gentleman is larger than hand,larger
181,father is smaller than hill,smaller
182,arm is larger than elbow,larger
183,door is larger than fist,larger
184,body is larger than suit,larger
185,parcel is smaller than room,smaller
186,finger is smaller than town,smaller
187,sea is larger than train,larger
188,food is smaller than door,smaller
189,friend is larger than picture,larger
190,place is larger than wife,larger
191,father is larger than ear,larger
192,banker is smaller than room,smaller
193,step is smaller than room,smaller
194,someone is smaller than restaurant,smaller
195,father is larger than picture,larger
196,shoulder is smaller than wall,smaller
197,person is larger than suit,larger
198,boy is larger than violin,larger
199,someone is larger than book,larger
200,coach is larger than tree,larger
201,wife is smaller than ship,smaller
202,camp is larger than road,larger
203,step is smaller than place,smaller
204,bag is smaller than clothes,smaller
205,person is larger than head,larger
206,head is smaller than road,smaller
207,father is larger than lamp,larger
208,person is larger than foot,larger
209,floor is larger than hand,larger
210,sun is larger than torrent,larger
211,abode is larger than side,larger
212,watch is smaller than room,smaller
213,breath is smaller than head,smaller
214,ground is larger than place,larger
215,someone is larger than king,larger
216,town is larger than ball,larger
217,person is larger than sink,larger
218,boy is smaller than tree,smaller
219,food is smaller than city,smaller
220,person is smaller than abode,smaller
221,lady is smaller than world,smaller
222,newspaper is smaller than farm,smaller
223,foot is smaller than base,smaller
224,chest is smaller than room,smaller
225,father is larger than lady,larger
226,city is larger than shore,larger
227,body is larger than eye,larger
228,shop is larger than room,larger
229,lip is smaller than mouth,smaller
230,person is smaller than store,smaller
231,house is larger than room,larger
232,boat is larger than element,larger
233,air is larger than hand,larger
234,home is smaller than state,smaller
235,world is larger than clothes,larger
236,arm is smaller than place,smaller
237,world is larger than ear,larger
238,town is larger than hand,larger
239,father is larger than gate,larger
240,person is smaller than shippe,smaller
241,nose is smaller than glass,smaller
242,train is larger than wife,larger
243,suit is larger than head,larger
244,town is larger than face,larger
245,person is larger than teacher,larger
246,clothes is larger than eye,larger
247,lady is larger than pocket,larger
248,foot is larger than face,larger
249,watch is smaller than hand,smaller
250,king is smaller than gate,smaller
251,person is larger than window,larger
252,bank is larger than step,larger
253,everything is larger than breath,larger
254,car is larger than piece,larger
255,ground is larger than river,larger
256,tree is smaller than store,smaller
257,friend is smaller than town,smaller
258,brother is larger than glass,larger
259,foot is smaller than victim,smaller
260,friend is larger than end,larger
261,coast is larger than door,larger
262,patient is smaller than floor,smaller
263,horse is smaller than gate,smaller
264,dinner is larger than hand,larger
265,arm is smaller than shirt,smaller
266,throat is larger than mouth,larger
267,coast is larger than coal,larger
268,glass is smaller than train,smaller
269,knife is smaller than face,smaller
270,boat is larger than tree,larger
271,chest is larger than end,larger
272,boat is larger than rain,larger
273,food is smaller than bag,smaller
274,suit is smaller than bed,smaller
275,lady is smaller than tree,smaller
276,lady is smaller than sun,smaller
277,body is larger than hand,larger
278,friend is smaller than road,smaller
279,breath is smaller than town,smaller
280,friend is larger than wife,larger
281,spoon is smaller than continent,smaller
282,head is larger than hand,larger
283,father is smaller than city,smaller
284,person is smaller than train,smaller
285,cup is larger than eye,larger
286,back is smaller than bed,smaller
287,patient is smaller than place,smaller
288,father is larger than grass,larger
289,clock is smaller than room,smaller
290,hat is larger than bow,larger
291,hair is smaller than head,smaller
292,gentleman is smaller than restaurant,smaller
293,bow is smaller than stream,smaller
294,room is smaller than continent,smaller
295,tree is smaller than floor,smaller
296,piece is smaller than hand,smaller
297,person is smaller than prison,smaller
298,daughter is smaller than place,smaller
299,someone is smaller than house,smaller
300,coach is larger than face,larger
301,sun is larger than ship,larger
302,piece is smaller than place,smaller
303,train is smaller than town,smaller
304,eye is smaller than glass,smaller
305,river is larger than face,larger
306,tree is larger than brick,larger
307,door is larger than hand,larger
308,arm is smaller than boy,smaller
309,person is larger than boy,larger
310,dinner is smaller than door,smaller
311,brother is smaller than train,smaller
312,person is larger than harlot,larger
313,fox is smaller than messenger,smaller
314,foot is smaller than anything,smaller
315,finger is smaller than throat,smaller
316,king is larger than fool,larger
317,body is smaller than road,smaller
318,finger is larger than ash,larger
319,lady is smaller than sea,smaller
320,world is larger than glass,larger
321,town is larger than camp,larger
322,sea is larger than way,larger
323,parcel is smaller than home,smaller
324,friend is larger than child,larger
325,person is larger than watch,larger
326,child is larger than bottle,larger
327,poet is larger than ear,larger
328,town is larger than king,larger
329,daughter is larger than hand,larger
330,lady is larger than phone,larger
331,parcel is smaller than bed,smaller
332,patient is larger than mouth,larger
333,watch is smaller than ice,smaller
334,child is larger than elbow,larger
335,daughter is larger than face,larger
336,boy is smaller than continent,smaller
337,candidate is larger than head,larger
338,daughter is smaller than gate,smaller
339,teacher is larger than piece,larger
340,teacher is larger than picture,larger
341,coach is larger than head,larger
342,house is smaller than shore,smaller
343,finger is smaller than picture,smaller
344,wife is larger than dress,larger
345,hill is larger than eye,larger
346,cross is larger than head,larger
347,messenger is smaller than ship,smaller
348,corner is smaller than place,smaller
349,stone is smaller than wall,smaller
350,hat is larger than rain,larger
351,finger is larger than button,larger
352,father is larger than knife,larger
353,child is larger than light,larger
354,bench is smaller than wall,smaller
355,bow is larger than lip,larger
356,shop is smaller than town,smaller
357,lady is smaller than town,smaller
358,finger is smaller than book,smaller
359,house is larger than lamp,larger
360,child is larger than shirt,larger
361,world is larger than place,larger
362,head is smaller than bed,smaller
363,watch is smaller than sea,smaller
364,person is larger than rope,larger
365,finger is smaller than child,smaller
366,patient is larger than breath,larger
367,ash is smaller than head,smaller
368,corner is smaller than street,smaller
369,friend is larger than ball,larger
370,person is larger than cup,larger
371,finger is smaller than anything,smaller
372,sun is larger than object,larger
373,city is larger than town,larger
374,place is larger than worker,larger
375,wife is larger than lip,larger
376,spoon is smaller than sink,smaller
377,patient is smaller than scene,smaller
378,dinner is smaller than king,smaller
379,lover is smaller than effect,smaller
380,boy is smaller than ship,smaller
381,street is larger than room,larger
382,king is smaller than floor,smaller
383,tree is larger than purse,larger
384,boy is smaller than gate,smaller
385,father is smaller than floor,smaller
386,cup is larger than finger,larger
387,vessel is smaller than city,smaller
388,person is smaller than ground,smaller
389,lady is larger than glass,larger
390,father is smaller than tree,smaller
391,clothes is smaller than sun,smaller
392,state is larger than soul,larger
393,person is larger than volunteer,larger
394,lady is larger than basin,larger
395,person is larger than tear,larger
396,world is larger than state,larger
397,father is larger than eye,larger
398,finger is smaller than side,smaller
399,lady is larger than ear,larger
400,coach is larger than cross,larger
401,father is larger than breath,larger
402,person is larger than seal,larger
403,knife is smaller than rope,smaller
404,room is smaller than tree,smaller
405,body is smaller than boat,smaller
406,boy is larger than mouth,larger
407,king is larger than skirt,larger
408,book is smaller than light,smaller
409,arm is larger than chin,larger
410,gentleman is smaller than floor,smaller
411,coach is larger than patient,larger
412,arm is larger than head,larger
413,lady is larger than bow,larger
414,lady is larger than purse,larger
415,father is larger than body,larger
416,cup is smaller than restaurant,smaller
417,gentleman is larger than king,larger
418,chair is smaller than street,smaller
419,car is larger than face,larger
420,everything is larger than store,larger
421,vessel is larger than hand,larger
422,light is larger than road,larger
423,mountain is larger than mouth,larger
424,vessel is smaller than beach,smaller
425,arm is smaller than step,smaller
426,gentleman is smaller than state,smaller
427,button is smaller than door,smaller
428,body is smaller than beach,smaller
429,bag is smaller than road,smaller
430,door is larger than phone,larger
431,shoulder is larger than hand,larger
432,hat is smaller than state,smaller
433,teacher is smaller than tree,smaller
434,victim is larger than hand,larger
435,lady is larger than daughter,larger
436,air is larger than shirt,larger
437,daughter is smaller than door,smaller
438,elbow is smaller than hand,smaller
439,everything is larger than picture,larger
440,dinner is larger than knife,larger
441,bank is larger than brother,larger
442,arm is smaller than hill,smaller
443,world is larger than position,larger
444,foot is smaller than road,smaller
445,parent is smaller than place,smaller
446,step is smaller than camp,smaller
447,clock is smaller than town,smaller
448,father is smaller than everything,smaller
449,hat is smaller than room,smaller
450,finger is smaller than chin,smaller
451,arm is smaller than train,smaller
452,boy is smaller than restaurant,smaller
453,arm is larger than face,larger
454,head is smaller than stream,smaller
455,world is larger than scene,larger
456,child is larger than cross,larger
457,lady is smaller than everything,smaller
458,house is smaller than beach,smaller
459,boy is larger than glass,larger
460,house is larger than tree,larger
461,stream is smaller than beach,smaller
462,town is larger than mouth,larger
463,knife is smaller than room,smaller
464,sun is larger than camp,larger
465,sun is larger than rope,larger
466,brother is larger than stone,larger
467,horse is larger than book,larger
468,sail is smaller than boat,smaller
469,knife is smaller than sink,smaller
470,parcel is larger than pocket,larger
471,banker is smaller than stream,smaller
472,body is smaller than continent,smaller
473,picture is larger than mouth,larger
474,sun is larger than horse,larger
475,boy is smaller than room,smaller
476,system is larger than child,larger
477,newspaper is smaller than camp,smaller
478,button is smaller than shirt,smaller
479,chair is smaller than continent,smaller
480,body is smaller than place,smaller
481,ground is larger than mouth,larger
482,person is larger than pocket,larger
483,king is larger than lamp,larger
484,person is smaller than reservation,smaller
485,city is larger than eye,larger
486,someone is larger than lock,larger
487,piece is smaller than head,smaller
488,finger is smaller than head,smaller
489,body is larger than block,larger
490,child is smaller than ship,smaller
491,person is smaller than horse,smaller
492,father is larger than head,larger
493,corner is larger than eye,larger
494,clothes is smaller than street,smaller
495,dinner is larger than book,larger
496,father is smaller than road,smaller
497,father is larger than daughter,larger
498,world is larger than poet,larger
499,chest is larger than stone,larger
500,food is smaller than floor,smaller
501,sun is larger than light,larger
502,lady is larger than lock,larger
503,eye is smaller than gate,smaller
504,cup is smaller than bench,smaller
505,daughter is larger than tree,larger
506,father is smaller than barn,smaller
507,body is larger than book,larger
508,coach is smaller than gate,smaller
509,boy is larger than piece,larger
510,sun is larger than ball,larger
511,phone is larger than ear,larger
512,shop is larger than office,larger
513,patient is larger than friend,larger
514,city is larger than element,larger
515,victim is larger than head,larger
516,button is smaller than phone,smaller
517,person is smaller than car,smaller
518,arm is smaller than friend,smaller
519,someone is smaller than boat,smaller
520,daughter is larger than suit,larger
521,messenger is larger than eye,larger
522,chair is smaller than world,smaller
523,person is larger than exile,larger
524,child is smaller than tree,smaller
525,lady is larger than lip,larger
526,brother is larger than body,larger
527,lady is smaller than bench,smaller
528,person is larger than glass,larger
529,boy is larger than coal,larger
530,door is smaller than gate,smaller
531,boy is larger than picture,larger
532,father is smaller than sea,smaller
533,foot is smaller than position,smaller
534,foot is larger than stone,larger
535,eye is smaller than hand,smaller
536,father is larger than shoulder,larger
537,nose is smaller than place,smaller
538,person is larger than meal,larger
539,world is larger than direction,larger
540,wife is larger than pedestal,larger
541,piece is smaller than room,smaller
542,parent is larger than head,larger
543,side is smaller than place,smaller
544,head is smaller than dress,smaller
545,gentleman is larger than child,larger
546,door is larger than child,larger
547,car is larger than rain,larger
548,home is larger than room,larger
549,chair is larger than head,larger
550,knife is larger than eye,larger
551,gentleman is larger than meal,larger
552,boy is larger than suit,larger
553,victim is larger than purse,larger
554,exile is smaller than room,smaller
555,house is larger than purse,larger
556,tree is larger than friend,larger
557,finger is smaller than spoon,smaller
558,anchor is smaller than shore,smaller
559,person is larger than stone,larger
560,abode is smaller than bank,smaller
561,chest is larger than arm,larger
562,king is larger than bottle,larger
563,window is larger than lamp,larger
564,daughter is larger than skirt,larger
565,train is larger than gate,larger
566,wife is smaller than gate,smaller
567,daughter is larger than shirt,larger
568,purse is smaller than floor,smaller
569,window is smaller than wall,smaller
570,person is larger than child,larger
571,person is larger than goose,larger
572,watch is smaller than city,smaller
573,person is larger than side,larger
574,gentleman is larger than magazine,larger
575,brother is smaller than home,smaller
576,food is smaller than room,smaller
577,worker is larger than hand,larger
578,arm is smaller than door,smaller
579,barn is smaller than hill,smaller
580,person is smaller than anything,smaller
581,piece is smaller than road,smaller
582,person is larger than parcel,larger
583,way is larger than book,larger
584,hair is smaller than face,smaller
585,coach is larger than breath,larger
586,coach is smaller than room,smaller
587,horse is smaller than road,smaller
588,corner is larger than mouth,larger
589,arm is larger than mouth,larger
590,watch is smaller than head,smaller
591,window is smaller than everything,smaller
592,abode is smaller than farm,smaller
593,temple is smaller than head,smaller
594,brother is smaller than state,smaller
595,hat is smaller than house,smaller
596,person is larger than clock,larger
597,sun is larger than floor,larger
598,lady is larger than violin,larger
599,patient is larger than step,larger
600,child is smaller than tree,smaller
601,sea is larger than head,larger
602,ear is smaller than room,smaller
603,coach is smaller than town,smaller
604,friend is larger than purse,larger
605,stone is smaller than tree,smaller
606,person is larger than patient,larger
607,horse is smaller than car,smaller
608,gulp is smaller than glass,smaller
609,home is larger than hand,larger
610,teacher is larger than hand,larger
611,room is larger than face,larger
612,sun is larger than glass,larger
613,father is larger than gentleman,larger
614,city is larger than ball,larger
615,coach is larger than hand,larger
616,boat is smaller than stream,smaller
617,current is larger than response,larger
618,bench is smaller than place,smaller
619,horse is smaller than town,smaller
620,bag is larger than shirt,larger
621,eye is smaller than ear,smaller
622,lady is smaller than house,smaller
623,hat is smaller than home,smaller
624,poet is larger than call,larger
625,boy is larger than child,larger
626,wall is larger than light,larger
627,boy is larger than cross,larger
628,clothes is smaller than cross,smaller
629,fox is smaller than road,smaller
630,lady is smaller than door,smaller
631,child is larger than lamp,larger
632,fox is larger than food,larger
633,place is larger than newspaper,larger
634,clock is smaller than door,smaller
635,gentleman is smaller than door,smaller
636,lady is smaller than bower,smaller
637,stair is smaller than stream,smaller
638,river is larger than ice,larger
639,elbow is smaller than floor,smaller
640,house is larger than head,larger
641,lady is smaller than temple,smaller
642,coach is smaller than horse,smaller
643,picture is larger than hand,larger
644,prison is smaller than state,smaller
645,lady is larger than fist,larger
646,food is smaller than farm,smaller
647,poet is larger than object,larger
648,fox is smaller than tree,smaller
649,boy is larger than chin,larger
650,hill is larger than place,larger
651,state is larger than road,larger
652,hat is smaller than sea,smaller
653,bag is smaller than doorway,smaller
654,piece is smaller than skirt,smaller
655,foot is smaller than body,smaller
656,king is larger than hand,larger
657,gentleman is smaller than store,smaller
658,bank is smaller than river,smaller
659,king is larger than magazine,larger
660,hat is smaller than sun,smaller
661,chest is larger than bottle,larger
662,gentleman is smaller than doorway,smaller
663,clothes is smaller than everything,smaller
664,hat is smaller than floor,smaller
665,house is larger than step,larger
666,home is larger than friend,larger
667,sun is larger than stream,larger
668,patient is larger than hand,larger
669,house is smaller than everything,smaller
670,someone is larger than ear,larger
671,brother is smaller than cross,smaller
672,watch is smaller than back,smaller
673,meal is smaller than father,smaller
674,place is larger than object,larger
675,ground is larger than step,larger
676,horse is larger than eye,larger
677,river is larger than shore,larger
678,person is larger than torso,larger
679,coach is larger than foot,larger
680,mosquito is smaller than mouth,smaller
681,sea is larger than boat,larger
682,rain is larger than face,larger
683,ground is larger than stone,larger
684,boy is larger than book,larger
685,world is smaller than everything,smaller
686,sea is larger than vessel,larger
687,person is smaller than truck,smaller
688,horse is larger than rope,larger
689,car is larger than floor,larger
690,person is larger than parent,larger
691,stream is larger than face,larger
692,wife is larger than purse,larger
693,brother is smaller than bed,smaller
694,lover is smaller than road,smaller
695,someone is smaller than doorway,smaller
696,hat is smaller than bed,smaller
697,button is smaller than mouth,smaller
698,gentleman is larger than wife,larger
699,father is smaller than trench,smaller
700,bag is smaller than place,smaller
701,watch is smaller than sail,smaller
702,house is larger than block,larger
703,boy is smaller than car,smaller
704,boy is larger than purse,larger
705,food is smaller than body,smaller
706,messenger is larger than ear,larger
707,lady is larger than child,larger
708,child is smaller than gate,smaller
709,sun is larger than current,larger
710,lady is larger than hair,larger
711,cup is smaller than bottle,smaller
712,river is larger than glass,larger
713,call is smaller than ship,smaller
714,person is larger than candidate,larger
715,city is larger than middle,larger
716,cross is larger than knife,larger
717,knife is smaller than scene,smaller
718,sun is larger than gate,larger
719,parent is larger than hand,larger
720,patient is larger than child,larger
721,strap is larger than eye,larger
722,arm is smaller than daughter,smaller
723,meal is smaller than chair,smaller
724,door is larger than lamp,larger
725,eye is smaller than child,smaller
726,dinner is smaller than home,smaller
727,soul is larger than continent,larger
728,candidate is larger than eye,larger
729,bay is larger than ship,larger
730,person is smaller than horseback,smaller
731,bank is smaller than farm,smaller
732,gentleman is larger than shirt,larger
733,friend is larger than knee,larger
734,place is larger than face,larger
735,home is larger than bottle,larger
736,corner is smaller than room,smaller
737,foot is smaller than town,smaller
738,boy is smaller than road,smaller
739,lady is larger than sip,larger
740,boat is smaller than flood,smaller
741,lady is larger than clothes,larger
742,boy is smaller than wall,smaller
743,person is smaller than sail,smaller
744,hair is smaller than picture,smaller
745,father is smaller than beach,smaller
746,food is larger than hand,larger
747,sea is larger than position,larger
748,street is larger than dress,larger
749,wife is smaller than camp,smaller
750,eye is smaller than face,smaller
751,grass is smaller than knee,smaller
752,shoulder is larger than face,larger
753,person is smaller than trench,smaller
754,eye is smaller than head,smaller
755,system is larger than hand,larger
756,person is smaller than bed,smaller
757,world is larger than face,larger
758,lad is larger than light,larger
759,king is larger than throat,larger
760,head is smaller than pedestal,smaller
761,wife is larger than hand,larger
762,person is larger than fist,larger
763,sun is larger than farm,larger
764,everything is larger than floor,larger
765,foot is larger than eye,larger
766,coach is larger than ball,larger
767,clock is larger than eye,larger
768,arm is larger than breath,larger
769,chest is larger than hand,larger
770,body is larger than rain,larger
771,patient is larger than book,larger
772,father is larger than messenger,larger
773,teacher is larger than head,larger
774,magistrate is larger than clock,larger
775,bag is larger than hand,larger
776,air is larger than head,larger
777,person is larger than eye,larger
778,bench is smaller than sun,smaller
779,sun is larger than boat,larger
780,state is larger than hand,larger
781,hair is smaller than bed,smaller
782,foot is smaller than grass,smaller
783,person is larger than worker,larger
784,lady is smaller than gentleman,smaller
785,friend is smaller than store,smaller
786,hair is smaller than shirt,smaller
787,eye is smaller than flood,smaller
788,chair is smaller than house,smaller
789,sun is larger than beach,larger
790,eye is smaller than floor,smaller
791,child is smaller than road,smaller
792,eye is smaller than shore,smaller
793,boy is larger than throat,larger
794,father is larger than brother,larger
795,daughter is larger than mouth,larger
796,eye is smaller than coal,smaller
797,lady is larger than book,larger
798,parcel is smaller than gentleman,smaller
799,city is larger than ship,larger
800,purse is larger than hand,larger
801,lady is smaller than way,smaller
802,place is larger than picture,larger
803,factory is larger than stream,larger
804,person is smaller than temple,smaller
805,person is smaller than town,smaller
806,king is larger than face,larger
807,house is larger than cross,larger
808,corner is smaller than sea,smaller
809,head is smaller than wife,smaller
810,corner is larger than head,larger
811,boy is larger than ball,larger
812,ship is larger than shirt,larger
813,tree is larger than mouth,larger
814,boat is smaller than city,smaller
815,boy is larger than daughter,larger
816,spoon is smaller than floor,smaller
817,foot is smaller than river,smaller
818,everything is larger than room,larger
819,lady is smaller than prison,smaller
820,hat is larger than grass,larger
821,vessel is larger than mouth,larger
822,button is smaller than wall,smaller
823,gentleman is larger than friend,larger
824,daughter is smaller than horse,smaller
825,gentleman is larger than step,larger
826,child is larger than knee,larger
827,candidate is smaller than road,smaller
828,home is smaller than hill,smaller
829,person is smaller than city,smaller
830,bed is larger than picture,larger
831,place is smaller than system,smaller
832,lady is smaller than bed,smaller
833,person is larger than corner,larger
834,horse is larger than shirt,larger
835,town is larger than book,larger
836,factory is larger than glass,larger
837,foot is smaller than house,smaller
838,person is smaller than house,smaller
839,everything is larger than head,larger
840,office is larger than hand,larger
841,head is smaller than skirt,smaller
842,bank is larger than side,larger
843,child is smaller than town,smaller
844,ground is larger than fist,larger
845,person is larger than shirt,larger
846,bow is larger than eye,larger
847,boy is smaller than city,smaller
848,friend is larger than child,larger
849,fist is smaller than wife,smaller
850,child is larger than face,larger
851,poet is larger than friend,larger
852,father is smaller than house,smaller
853,clock is smaller than lamp,smaller
854,lady is smaller than river,smaller
855,brick is smaller than head,smaller
856,newspaper is larger than knee,larger
857,brother is smaller than scene,smaller
858,child is larger than book,larger
859,hair is smaller than arm,smaller
860,phone is smaller than bed,smaller
861,gentleman is larger than lip,larger
862,king is larger than purse,larger
863,arm is larger than fist,larger
864,someone is larger than body,larger
865,seal is larger than ice,larger
866,dinner is smaller than restaurant,smaller
867,person is smaller than shore,smaller
868,friend is smaller than gate,smaller
869,friend is smaller than doorway,smaller
870,brother is smaller than ship,smaller
871,foot is smaller than everything,smaller
872,bayonet is larger than mouth,larger
873,house is larger than eye,larger
874,city is larger than king,larger
875,teacher is smaller than store,smaller
876,home is larger than daughter,larger
877,system is larger than seed,larger
878,stream is larger than mouth,larger
879,nose is smaller than door,smaller
880,someone is larger than face,larger
881,teacher is larger than book,larger
882,meal is smaller than place,smaller
883,person is smaller than factory,smaller
884,person is smaller than beach,smaller
885,sun is larger than body,larger
886,city is larger than head,larger
887,teacher is smaller than room,smaller
888,lad is larger than mouth,larger
889,someone is smaller than barn,smaller
890,king is smaller than road,smaller
891,wife is smaller than floor,smaller
892,stone is smaller than road,smaller
893,victim is larger than step,larger
894,finger is smaller than place,smaller
895,book is larger than face,larger
896,hair is smaller than hand,smaller
897,boy is larger than fist,larger
898,person is larger than ash,larger
899,wife is smaller than flood,smaller
900,king is smaller than seal,smaller
901,back is larger than head,larger
902,gentleman is larger than chin,larger
903,foot is smaller than city,smaller
904,magazine is larger than eye,larger
905,boy is larger than meal,larger
906,lady is larger than lover,larger
907,coach is smaller than place,smaller
908,world is larger than step,larger
909,teacher is larger than eye,larger
910,city is larger than child,larger
911,victim is smaller than door,smaller
912,hill is larger than rain,larger
913,eye is smaller than someone,smaller
914,magistrate is larger than messenger,larger
915,bag is larger than bottle,larger
916,friend is larger than hand,larger
917,chair is smaller than home,smaller
918,scene is larger than hand,larger
919,someone is larger than head,larger
920,person is larger than body,larger
921,world is larger than wind,larger
922,father is smaller than sail,smaller
923,home is larger than soul,larger
924,foot is larger than mouth,larger
925,sun is larger than bed,larger
926,factory is smaller than city,smaller
927,person is larger than hat,larger
928,home is larger than piece,larger
929,dinner is larger than mouth,larger
930,office is larger than messenger,larger
931,wife is larger than skirt,larger
932,child is larger than shirt,larger
933,sea is larger than anchor,larger
934,friend is larger than dress,larger
935,father is larger than tree,larger
936,foot is smaller than head,smaller
937,foot is smaller than factory,smaller
938,wife is smaller than farm,smaller
939,boat is larger than mouth,larger
940,hat is larger than mouth,larger
941,horse is larger than mouth,larger
942,world is larger than suit,larger
943,lady is larger than shirt,larger
944,prison is larger than side,larger
945,watch is smaller than floor,smaller
946,door is larger than rope,larger
947,wife is smaller than shore,smaller
948,shop is larger than corner,larger
949,foot is smaller than hill,smaller
950,gentleman is larger than body,larger
951,victim is smaller than tree,smaller
952,book is larger than picture,larger
953,magistrate is larger than book,larger
954,finger is larger than eye,larger
955,tree is smaller than ship,smaller
956,fox is smaller than city,smaller
957,watch is smaller than street,smaller
958,ship is larger than face,larger
959,air is larger than end,larger
960,state is larger than eye,larger
961,lady is larger than ice,larger
962,office is larger than seal,larger
963,boy is larger than lock,larger
964,foot is smaller than ice,smaller
